[2013-11-26 16:04:02,036] [DEBUG]: In debug mode: True[in __init__.py:89]
[2013-11-26 16:04:09,316] [DEBUG]: In debug mode: True[in __init__.py:89]
[2014-08-13 09:01:23,887] [DEBUG]: In debug mode: True[in __init__.py:90]
[2014-08-13 09:01:24,043] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 09:01:24,043] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/qair_3hourly.nc?item=layerDetails&layerName=Qair&coverage=Qair&request=GetMetadata[in proxy.py:32]
[2014-08-13 09:01:24,043] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
[2014-08-13 10:03:49,809] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 10:03:49,810] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/rainf_3hourly.nc?item=layerDetails&layerName=Rainf&coverage=Rainf&request=GetMetadata[in proxy.py:32]
[2014-08-13 10:03:49,810] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
[2014-08-13 10:04:00,340] [DEBUG]: None[in wcs.py:27]
[2014-08-13 10:04:00,340] [DEBUG]: URL: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/rainf_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-41.30859375%2C24.609375%2C-39.55078125%2C26.19140625&coverage=Rainf&time=2012-07-21%2F2013-01-01[in wcs.py:164]
[2014-08-13 10:04:00,340] [DEBUG]: Processing request...[in wcs.py:29]
[2014-08-13 10:04:00,341] [DEBUG]: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/rainf_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-41.30859375%2C24.609375%2C-39.55078125%2C26.19140625&coverage=Rainf&time=2012-07-21%2F2013-01-01[in wcs.py:30]
[2014-08-13 10:04:00,341] [DEBUG]: Contacting WCS Server with request...https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/rainf_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-41.30859375%2C24.609375%2C-39.55078125%2C26.19140625&coverage=Rainf&time=2012-07-21%2F2013-01-01[in wcs.py:172]
[2014-08-13 10:04:05,261] [DEBUG]: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/rainf_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-41.30859375%2C24.609375%2C-39.55078125%2C26.19140625&coverage=Rainf&time=2012-07-21%2F2013-01-01[in wcs.py:174]
[2014-08-13 10:04:05,261] [DEBUG]: Request successful[in wcs.py:175]
[2014-08-13 10:04:05,261] [DEBUG]: Saving out temporary file...[in wcs.py:179]
[2014-08-13 10:04:05,262] [DEBUG]: Temporary file saved successfully[in wcs.py:184]
[2014-08-13 10:04:05,263] [DEBUG]: Opening netCDF file...[in wcs.py:188]
[2014-08-13 10:04:05,263] [DEBUG]: NetCDF file opened[in wcs.py:190]
[2014-08-13 10:04:05,263] [DEBUG]: Checking data...[in wcs.py:223]
[2014-08-13 10:04:05,263] [DEBUG]: Data checked, beginning requested process...[in wcs.py:226]
[2014-08-13 10:04:05,719] [DEBUG]: ========== key:Rainf ===========[in wcs.py:590]
[2014-08-13 10:04:05,720] [DEBUG]: _FillValue[in wcs.py:592]
[2014-08-13 10:04:05,720] [DEBUG]: units[in wcs.py:592]
[2014-08-13 10:04:05,720] [DEBUG]: long_name[in wcs.py:592]
[2014-08-13 10:04:05,720] [DEBUG]: standard_name[in wcs.py:592]
[2014-08-13 10:04:05,720] [DEBUG]: comment[in wcs.py:592]
[2014-08-13 10:04:05,720] [DEBUG]: valid_range[in wcs.py:592]
[2014-08-13 10:04:05,720] [DEBUG]: coordinates[in wcs.py:592]
[2014-08-13 10:04:05,720] [DEBUG]: ========== key:time ===========[in wcs.py:590]
[2014-08-13 10:04:05,720] [DEBUG]: units[in wcs.py:592]
[2014-08-13 10:04:05,720] [DEBUG]: long_name[in wcs.py:592]
[2014-08-13 10:04:05,720] [DEBUG]: standard_name[in wcs.py:592]
[2014-08-13 10:04:05,720] [DEBUG]: calendar[in wcs.py:592]
[2014-08-13 10:04:05,721] [DEBUG]: axis[in wcs.py:592]
[2014-08-13 10:04:05,721] [DEBUG]: _CoordinateAxisType[in wcs.py:592]
[2014-08-13 10:04:06,069] [DEBUG]: starting basic calc[in wcs.py:340]
[2014-08-13 10:04:06,069] [DEBUG]: starting iter of dates[in wcs.py:363]
[2014-08-13 10:04:06,717] [DEBUG]: Finished basic[in wcs.py:388]
[2014-08-13 10:04:06,717] [DEBUG]: Process complete, returning data for transmission...[in wcs.py:230]
[2014-08-13 10:04:06,717] [DEBUG]: Jsonifying response...[in wcs.py:70]
[2014-08-13 10:04:06,726] [DEBUG]: Request complete, Sending results[in wcs.py:86]
[2014-08-13 10:04:52,621] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 10:04:52,621] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/rainf_3hourly.nc?item=minmax&layers=Rainf&bbox=-180,-90,180,90&elevation=-1&time=2013-01-01T00:00:00.000Z&crs=EPSG:4326&srs=EPSG:4326&width=50&height=50&request=GetMetadata[in proxy.py:32]
[2014-08-13 10:04:52,621] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
[2014-08-13 10:05:03,620] [DEBUG]: Checking logger[in proxy.py:31]
